번호	제목	날짜	조회수
279	SSG PAY 시스템 점검 안내	2020-12-02	5812
278	SSG PAY 시스템 점검 안내	2020-11-25	10012
277	코로나 방역조치 강화에 따른 고객 안내(수도권 및 2단계 상향 지역에 한함)	2020-11-23	179638
276	홈페이지 이용약관 개정안내	2020-11-20	16376
275	위치정보 이용약관 개정안내	2020-11-20	6928
274	개인정보 처리방침 개정안내	2020-11-20	4072
273	시스템 개선 및 점검 안내	2020-11-20	6914
272	개인정보 처리방침 개정안내	2020-11-18	7460
271	금융결제원 시스템 작업 안내	2020-11-13	9266
270	SSG PAY 시스템 점검 안내	2020-11-11	11402
269	현대카드 H-Coin 결제 서비스 변경 안내(매장 사용 불가)	2020-11-11	46012
268	시스템 개선 및 점검 안내	2020-10-23	1814
267	시스템 개선 및 점검 안내	2020-10-19	16245
266	시스템 개선 및 점검 안내	2020-10-08	7202
265	개인정보 처리방침 개정안내	2020-10-05	16560
264	스타벅스 카드 이용약관 개정 공지	2020-10-05	31983
263	추석 연휴 매장 영업시간 변경 안내	2020-09-28	151448
262	시스템 개선 및 점검 안내	2020-09-24	6452
261	개인정보 처리방침 개정안내	2020-09-14	21336
260	스타벅스 카드 이용약관 개정 안내	2020-09-14	35198
259	개인정보 처리방침 개정안내	2020-09-01	20312
258	스타벅스 카드/홈페이지 이용약관 개정안내	2020-09-01	37898
257	사이렌 오더 음료 기본 설정 변경 안내 (ICED → HOT)	2020-08-31	190158
256	코로나 방역조치 강화에 따른 고객 안내	2020-08-28	701238
255	시스템 개선 및 점검 안내	2020-08-11	29362
254	전자영수증 서비스 점검 안내	2020-08-03	7518
253	홈페이지 이용약관 개정 안내	2020-08-03	17149
252	시스템 개선 및 점검 안내	2020-07-28	23995
251	더양평DTR점 주문 시 유의 사항	2020-07-23	258212
250	시스템 개선 및 점검 안내	2020-07-22	9952
249	SSG PAY 시스템 점검 안내	2020-07-21	12976
248	일시적인 시스템 장애 안내	2020-07-21	18969
247	스타벅스 애플리케이션 Android 5.0 미만 버전 서비스 지원종료 안내	2020-07-20	43212
246	스타벅스 홈페이지 windows XP 미만 서비스 지원 종료안내	2020-07-20	16100
245	시스템 개선 및 점검 안내	2020-07-14	41865
244	스타벅스 카드 이용약관 개정 안내	2020-07-03	85486
243	KB카드 이용 장애 해결 안내	2020-06-22	19920
242	SSG PAY 시스템 점검 안내	2020-06-15	42704
241	BC카드 ISP/페이북 시스템 점검 안내	2020-05-29	19466
240	SSG PAY 시스템 점검 안내	2020-05-27	20262
239	스타벅스 앱 내 e-Coupon / Gift Shop의 e-Gift Item 수량 표기 미노출 안내	2020-05-26	255900
238	개인정보처리방침 개정 안내	2020-05-25	10786
237	전자영수증 서비스 점검 안내	2020-05-18	24998
236	전자영수증 서비스 점검안내	2020-05-14	39712
235	시스템 개선 및 점검 안내	2020-05-12	18246
234	위치정보 이용약관 / 스타벅스 카드 이용약관 개정 안내	2020-05-11	26908
233	시스템 개선 및 점검 안내	2020-04-10	35794
232	시스템 개선 및 점검 안내	2020-04-08	26544
231	사이렌 오더 음료 기본 설정 변경 안내 (HOT → ICED)	2020-04-03	159150
230	시스템 개선 및 점검 안내	2020-04-01	15172
229	홈페이지 이용약관 개정안내	2020-04-01	29942
228	SSG PAY 시스템 점검 안내	2020-03-25	12114
227	스타벅스 고객센터의 대표번호와 운영시간 변경 안내	2020-03-25	89828
226	개인정보 처리방침 및 영상정보처리기기 운영관리 방침 개정안내	2020-03-25	11460
225	홈페이지 이용약관 / 위치정보 이용약관 / 스타벅스 카드 이용약관 / 비회원 이용약관 개정안내	2020-03-25	12908
224	고객센터 업무 위탁에 따른 개인정보 처리방침 개정	2020-03-25	11339
223	대구 지역 일부 매장 휴점 연장 안내	2020-03-20	61178
222	스타벅스 애플리케이션 iOS 13.3.1에서의 오류 발생 안내	2020-03-19	50576
221	시스템 개선 및 점검 일정 안내	2020-03-18	31756
220	COVID-19 예방 고객 안전 캠페인	2020-03-12	225808
219	대구/경북 지역 일부 매장 휴점 안내	2020-03-08	203066
218	위치정보 이용약관 개정 안내	2020-02-25	26913
217	개인정보처리방침 개정 안내	2020-02-25	18976
216	PFSS(프리미어 푸드 서비스 스토어) 일반 푸드 운영 안내	2020-02-19	170643
215	스타벅스 전자영수증 서비스 점검 작업 안내	2020-02-18	59557
214	스타벅스 애플리케이션 Android 4.4 미만 버전 서비스 지원종료 안내	2020-02-18	54774
213	스타벅스 SSG PAY 결제 서비스 일시 중지 안내	2020-02-04	23110
212	설 연휴 스타벅스 매장 영업시간 변경 안내	2020-01-20	205031
211	브런치 유어 웨이 별 적립 혜택 안내(업데이트)	2020-01-15	702258
210	콜 마이 네임 서비스 운영 정책 변경 안내	2020-01-13	249186
209	앱 서비스/홈페이지 서비스의 점검 안내	2020-01-06	27566
208	마이 스타벅스 리워드 별 적립 혜택 안내	2019-12-30	312796
207	홈페이지 이용약관 및 스타벅스 카드 이용약관 개정 안내	2019-12-20	87275
206	스타벅스 카드 이용약관 개정 안내	2019-12-11	70422
205	앱 서비스/홈페이지 서비스의 점검 안내	2019-12-04	19258
204	실물 골드카드 발급 서비스 종료 안내	2019-12-02	533582
203	스타벅스 카드 이용약관 개정 안내	2019-12-02	88844
202	앱 서비스/홈페이지 서비스의 중단안내	2019-11-13	68900
201	영상정보처리기기 운영관리 방침 개정 안내	2019-11-07	49694
200	앱 서비스/홈페이지 서비스의 중단안내	2019-10-23	211483
199	나만의 사이렌 오더 매장 서비스 종료 안내	2019-10-01	281938
198	홀케이크 예약 약관 개정 안내	2019-09-30	123532
197	스타벅스 애플리케이션 Android 4.1 미만 버전 서비스 지원종료 안내	2019-09-17	42288
196	추석 연휴 매장 영업시간 변경 안내	2019-09-09	166034
195	사이렌 오더 음료 기본 설정 변경 안내 (ICED → HOT)	2019-09-09	127668
194	Easy Order (이지오더) 서비스 종료 안내	2019-09-02	240648
193	KT멤버십 제휴 혜택 변경 안내	2019-08-26	313353
192	스타벅스 회원의 개인정보 보호에 대한 안내	2019-08-23	35743
191	앱 서비스/홈페이지 서비스의 중단안내	2019-08-14	27075
190	위치정보 이용약관 개정 안내	2019-08-06	21514
189	개인정보처리방침 개정 안내	2019-08-06	11734
188	앱 서비스/홈페이지 서비스의 중단안내	2019-08-05	23640
187	앱 서비스/홈페이지 서비스의 중단안내	2019-07-31	46676
186	앱 서비스/홈페이지 서비스의 중단안내	2019-07-18	66821
185	인천공항 입점 매장 서비스 변경 안내 (‘19년 8월 1일~)	2019-07-17	94846
184	2019 여름 e-프리퀀시 이벤트 대체 증정품 안내	2019-07-08	176463
183	앱 서비스/홈페이지 서비스의 중단안내	2019-07-02	61114
182	2019 여름 e-프리퀀시 이벤트 증정품 및 증정기간 안내	2019-06-17	483530
181	스타벅스 피지오 운영 안내	2019-06-11	441910
180	LG U+ 멤버십 제휴 혜택 종료 안내 (‘19년 7월 1일~)	2019-05-28	208110
179	앱 서비스/홈페이지 서비스 일부 중단안내	2019-05-21	68134
178	사이렌 오더 음료 기본 설정 변경 안내 (HOT → ICED)	2019-05-10	226912
177	속초지역 스타벅스 임시 휴점 안내 (‘19년 4월 5일)	2019-04-05	133846
176	스타벅스 SSG PAY 결제 서비스 일시 중지 안내	2019-02-19	38252
175	설 연휴 스타벅스 매장 영업시간 변경 안내	2019-01-31	166606
174	개인정보처리방침 개정 안내	2019-01-15	17238
173	스타벅스 SSG PAY 결제 서비스 일시 중지 안내	2019-01-09	42586
172	마이 스타벅스 리워드 그린/골드 레벨 원두 구매 시 증정 음료 변경 안내 공지	2018-12-24	175271
171	2019 플래너(민트) 품절 안내 공지	2018-12-12	300428
170	서버 점검 및 앱 서비스/홈페이지 일시 중지 안내	2018-10-23	46396
169	서버 점검 및 앱 서비스/홈페이지 일시 중지 안내	2018-10-15	15304
168	서버 점검 및 앱 서비스/홈페이지 일시 중지 안내	2018-10-05	34111
167	스타벅스 카드 이용약관 개정 안내	2018-09-21	85749
166	추석 연휴 스타벅스 매장 영업시간 변경 안내	2018-09-17	192311
165	개인정보처리방침 개정 안내	2018-09-06	21472
164	사이렌 오더 음료 기본 설정 변경 안내 (ICED → HOT)	2018-08-31	63726
163	스타벅스 매장 내 KT 기가 와이파이 보안 접속 서비스 안내	2018-08-08	34831
162	여름 e-프리퀀시 이벤트 추가 증정기간 안내	2018-06-29	414206
161	iOS 스타벅스 앱 e-Gift Item 카카오톡 전송오류 안내	2018-06-08	63021
160	주요 음료의 디카페인 퍼스널 옵션 적용 방법 변경 안내	2018-05-28	146276
159	홈페이지 이용약관 및 스타벅스 카드 이용약관 개정 안내	2018-05-21	6652
158	개인정보처리방침 개정 안내	2018-05-21	2143
157	스타벅스 인사점 휴점 안내 (18년 5월 14일~)	2018-05-11	112007
156	서버 점검 및 앱 서비스 일시 중지 안내	2018-05-09	74392
155	Summer 시즌 사이렌 오더 음료 기본 설정 변경 안내	2018-04-12	92989
154	"매월 10일은 일회용컵 없는 날 캠페인, 미참여 매장 및 머그 미사용 매장 안내"	2018-04-06	17297
153	개인정보처리방침 개정 안내	2018-03-09	3809
152	설 연휴 스타벅스 매장 영업시간 변경 안내	2018-02-13	14033
151	개인정보처리방침 개정 안내	2018-01-26	2991
150	인증 시스템 서비스 작업 안내	2018-01-26	2751
149	홈페이지 이용약관 개정 안내	2018-01-10	2050
148	고객의 소리 서비스 점검 안내	2017-12-15	5861
147	전자영수증 서비스 점검 안내	2017-12-07	2655
146	개인정보처리방침 개정 안내	2017-11-24	1746
145	추석 연휴 스타벅스 매장 영업시간 변경 안내	2017-09-22	72598
144	홈페이지 이용약관 및 스타벅스 카드 이용약관 개정 안내	2017-09-15	9772
143	스타벅스커피 코리아 홈페이지/애플리케이션 접속 일시 중단 안내	2017-09-13	194374
142	사이렌 오더 내 음료 기본 설정 변경 안내	2017-08-29	183334
